CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
axelar-dojo-1, 07-tendermint-0, connection-0, channel-0, transfer, columbus-5, 07-tendermint-30, connection-31, channel-19, transfer
axelar-dojo-1, 07-tendermint-1, connection-1, channel-1, transfer, injective-1, 07-tendermint-100, connection-86, channel-77, transfer
axelar-dojo-1, 07-tendermint-37, connection-20, channel-10, transfer, injective-1, 07-tendermint-113, connection-93, channel-84, transfer
axelar-dojo-1, 07-tendermint-148, connection-133, channel-100, transfer, bitsong-2b, 07-tendermint-54, connection-36, channel-18, transfer
axelar-dojo-1, 07-tendermint-149, connection-134, channel-101, transfer, jackal-1, 07-tendermint-15, connection-11, channel-10, transfer
axelar-dojo-1, 07-tendermint-150, connection-135, channel-102, transfer, odin-mainnet-freya, 07-tendermint-66, connection-51, channel-37, transfer
axelar-dojo-1, 07-tendermint-151, connection-136, channel-103, transfer, pacific-1, 07-tendermint-8, connection-2, channel-2, transfer
axelar-dojo-1, 07-tendermint-152, connection-137, channel-104, transfer, xstaxy-1, 07-tendermint-17, connection-11, channel-4, transfer
axelar-dojo-1, 07-tendermint-155, connection-140, channel-107, transfer, ununifi-beta-v1, 07-tendermint-5, connection-4, channel-2, transfer
axelar-dojo-1, 07-tendermint-156, connection-141, channel-108, transfer, qwoyn-1, 07-tendermint-1, connection-1, channel-1, transfer
axelar-dojo-1, 07-tendermint-158, connection-142, channel-109, transfer, empowerchain-1, 07-tendermint-2, connection-2, channel-2, transfer
axelar-dojo-1, 07-tendermint-39, connection-21, channel-11, transfer, phoenix-1, 07-tendermint-7, connection-10, channel-6, transfer
axelar-dojo-1, 07-tendermint-159, connection-143, channel-110, transfer, archway-1, 07-tendermint-3, connection-2, channel-2, transfer
axelar-dojo-1, 07-tendermint-160, connection-145, channel-111, transfer, archway-1, 07-tendermint-16, connection-17, channel-13, transfer
axelar-dojo-1, 07-tendermint-161, connection-146, channel-112, transfer, migaloo-1, 07-tendermint-91, connection-74, channel-49, transfer
axelar-dojo-1, 07-tendermint-162, connection-148, channel-113, transfer, haqq_11235-1, 07-tendermint-1, connection-1, channel-1, transfer
axelar-dojo-1, 07-tendermint-168, connection-150, channel-114, transfer, ixo-5, 07-tendermint-54, connection-40, channel-23, transfer
axelar-dojo-1, 07-tendermint-170, connection-152, channel-115, transfer, qamar-dev-1, 07-tendermint-1, connection-1, channel-0, transfer
axelar-dojo-1, 07-tendermint-175, connection-153, channel-116, transfer, pio-mainnet-1, 07-tendermint-35, connection-12, channel-9, transfer
axelar-dojo-1, 07-tendermint-176, connection-154, channel-117, transfer, qwoyn-1, 07-tendermint-3, connection-3, channel-3, transfer
axelar-dojo-1, 07-tendermint-177, connection-155, channel-118, transfer, teritori-1, 07-tendermint-93, connection-91, channel-60, transfer
axelar-dojo-1, 07-tendermint-178, connection-156, channel-119, transfer, coreum-mainnet-1, 07-tendermint-4, connection-4, channel-3, transfer
axelar-dojo-1, 07-tendermint-40, connection-22, channel-12, transfer, secret-4, 07-tendermint-44, connection-26, channel-20, transfer
axelar-dojo-1, 07-tendermint-179, connection-157, channel-120, transfer, coreum-mainnet-1, 07-tendermint-7, connection-7, channel-6, transfer
axelar-dojo-1, 07-tendermint-180, connection-158, channel-121, transfer, migaloo-1, 07-tendermint-101, connection-80, channel-53, transfer
axelar-dojo-1, 07-tendermint-42, connection-23, channel-13, transfer, kaiyo-1, 07-tendermint-11, connection-6, channel-8, transfer
axelar-dojo-1, 07-tendermint-42, connection-23, channel-14, transfer, kaiyo-1, 07-tendermint-11, connection-6, channel-9, transfer
axelar-dojo-1, 07-tendermint-43, connection-24, channel-15, transfer, comdex-1, 07-tendermint-53, connection-35, channel-32, transfer
axelar-dojo-1, 07-tendermint-44, connection-25, channel-16, transfer, bitcanna-1, 07-tendermint-15, connection-13, channel-13, transfer
axelar-dojo-1, 07-tendermint-45, connection-26, channel-17, transfer, kichain-2, 07-tendermint-30, connection-25, channel-19, transfer
axelar-dojo-1, 07-tendermint-46, connection-27, channel-18, transfer, stargaze-1, 07-tendermint-179, connection-112, channel-50, transfer
axelar-dojo-1, 07-tendermint-47, connection-28, channel-19, transfer, mantle-1, 07-tendermint-36, connection-16, channel-9, transfer
axelar-dojo-1, 07-tendermint-3, connection-2, channel-2, transfer, cosmoshub-4, 07-tendermint-622, connection-481, channel-293, transfer
axelar-dojo-1, 07-tendermint-48, connection-29, channel-20, transfer, core-1, 07-tendermint-60, connection-57, channel-45, transfer
axelar-dojo-1, 07-tendermint-49, connection-30, channel-21, transfer, fetchhub-4, 07-tendermint-14, connection-14, channel-14, transfer
axelar-dojo-1, 07-tendermint-50, connection-31, channel-22, transfer, evmos_9001-2, 07-tendermint-69, connection-27, channel-21, transfer
axelar-dojo-1, 07-tendermint-51, connection-32, channel-23, transfer, mantle-1, 07-tendermint-37, connection-17, channel-10, transfer
axelar-dojo-1, 07-tendermint-48, connection-34, channel-24, transfer, core-1, 07-tendermint-67, connection-61, channel-48, transfer
axelar-dojo-1, 07-tendermint-48, connection-34, channel-26, transfer, core-1, 07-tendermint-67, connection-61, channel-49, transfer
axelar-dojo-1, 07-tendermint-52, connection-35, channel-27, transfer, core-1, 07-tendermint-68, connection-62, channel-50, transfer
axelar-dojo-1, 07-tendermint-53, connection-36, channel-29, transfer, regen-1, 07-tendermint-100, connection-85, channel-48, transfer
axelar-dojo-1, 07-tendermint-23, connection-13, channel-3, transfer, osmosis-1, 07-tendermint-1862, connection-1453, channel-208, transfer
axelar-dojo-1, 07-tendermint-54, connection-37, channel-30, transfer, bitcanna-1, 07-tendermint-16, connection-14, channel-14, transfer
axelar-dojo-1, 07-tendermint-55, connection-38, channel-31, transfer, comdex-1, 07-tendermint-56, connection-37, channel-34, transfer
axelar-dojo-1, 07-tendermint-56, connection-39, channel-32, transfer, bitcanna-1, 07-tendermint-17, connection-15, channel-15, transfer
axelar-dojo-1, 07-tendermint-57, connection-40, channel-33, transfer, stride-1, 07-tendermint-11, connection-9, channel-11, transfer
axelar-dojo-1, 07-tendermint-58, connection-41, channel-34, transfer, exchain-66, 07-tendermint-85, connection-30, channel-25, transfer
axelar-dojo-1, 07-tendermint-62, connection-42, channel-35, transfer, umee-1, 07-tendermint-61, connection-43, channel-32, transfer
axelar-dojo-1, 07-tendermint-64, connection-43, channel-36, transfer, umee-1, 07-tendermint-63, connection-44, channel-33, transfer
axelar-dojo-1, 07-tendermint-65, connection-44, channel-37, transfer, carbon-1, 07-tendermint-12, connection-11, channel-7, transfer
axelar-dojo-1, 07-tendermint-66, connection-45, channel-38, transfer, titan-1, 07-tendermint-30, connection-21, channel-14, transfer
axelar-dojo-1, 07-tendermint-25, connection-14, channel-4, transfer, juno-1, 07-tendermint-150, connection-97, channel-71, transfer
axelar-dojo-1, 07-tendermint-69, connection-51, channel-41, transfer, agoric-3, 07-tendermint-11, connection-14, channel-9, transfer
axelar-dojo-1, 07-tendermint-70, connection-52, channel-42, transfer, core-1, 07-tendermint-69, connection-63, channel-51, transfer
